PeakID (cmd=annotatePeaks.pl MYC_Cluster3_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1-106	chr19	16362708	16364090	+	49.0	NA	intron (NR_047665, intron 21 of 22)	intron (NR_047665, intron 21 of 22)	38573	NM_016270	10365		NM_006075	ENSG00000127528	KLF2	LKLF	KLF transcription factor 2	protein-coding	49.05
1-107	chr8	90771039	90772421	+	48.9	NA	Intergenic	LTR16A1|LTR|ERVL	-20045	NM_022351	64168		NM_022351	ENSG00000123119	NECAB1	EFCBP1|STIP-1	N-terminal EF-hand calcium binding protein 1	protein-coding	48.79
1-108	chr7	2802397	2803779	+	48.3	NA	intron (NM_007353, intron 1 of 3)	intron (NM_007353, intron 1 of 3)	12142	NM_001282441	2768		NM_007353	ENSG00000146535	GNA12	HG1M1|NNX3|RMP|gep	G protein subunit alpha 12	protein-coding	48.27
1-109	chr2	11687655	11689037	+	47.2	NA	intron (NM_001349207, intron 1 of 20)	intron (NM_001349207, intron 1 of 20)	10802	NM_001349208	23175		NM_145693	ENSG00000134324	LPIN1	PAP1	lipin 1	protein-coding	47.24
1-110	chr1	162380871	162382253	+	47.0	NA	promoter-TSS (NM_001085375)	promoter-TSS (NM_001085375)	-166	NM_001085375	400793		NM_001085375	ENSG00000239887	C1orf226	-	chromosome 1 open reading frame 226	protein-coding	46.98
1-111	chr1	162380871	162382253	+	47.0	NA	promoter-TSS (NM_001085375)	promoter-TSS (NM_001085375)	-166	NM_001085375	400793		NM_001085375	ENSG00000239887	C1orf226	-	chromosome 1 open reading frame 226	protein-coding	46.98
1-112	chr4	37479861	37481243	+	46.8	NA	intron (NM_001104629, intron 1 of 3)	LTR19A|LTR|ERV1	26627	NM_001104629	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	46.81
1-113	chr12	109311476	109312858	+	46.6	NA	Intergenic	Intergenic	-2883	NM_213596	121643		NM_213596	ENSG00000139445	FOXN4	-	forkhead box N4	protein-coding	46.55
1-114	chr6	135210568	135211950	+	46.5	NA	intron (NR_134961, intron 15 of 15)	intron (NR_134961, intron 15 of 15)	-27901	NR_030317	693126		NR_030317	ENSG00000207689	MIR548A2	MIRN548A2	microRNA 548a-2	ncRNA	46.38
1-115	chr10	102678382	102679764	+	46.3	NA	intron (NM_004311, intron 5 of 5)	intron (NM_004311, intron 5 of 5)	34578	NM_001345950	81603		NM_030912	ENSG00000171206	TRIM8	FSGSNEDS|GERP|RNF27	tripartite motif containing 8	protein-coding	46.30
1-116	chr4	37407670	37409052	+	45.3	NA	intron (NM_001144990, intron 3 of 6)	L1PA7|LINE|L1	-45564	NM_001104629	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	45.27
1-118	chr17	74790938	74792320	+	44.4	NA	intron (NM_017728, intron 6 of 9)	intron (NM_017728, intron 6 of 9)	15130	NM_001321264	54868		NM_017728	ENSG00000109066	TMEM104	SLC38A12	transmembrane protein 104	protein-coding	44.41
1-117	chr2	11505419	11506801	+	44.4	NA	Intergenic	L2b|LINE|L2	-27935	NM_014668	9687		NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding	44.41
1-119	chr10	102728567	102729949	+	44.0	NA	intron (NR_146992, intron 5 of 9)	intron (NR_146992, intron 5 of 9)	14622	NM_178858	118980		NM_178858	ENSG00000156398	SFXN2	SLC56A2	sideroflexin 2	protein-coding	43.89
1-120	chr19	16330042	16331424	+	43.4	NA	Intergenic	Intergenic	5907	NM_016270	10365		NM_006075	ENSG00000127528	KLF2	LKLF	KLF transcription factor 2	protein-coding	43.38
1-121	chr10	17453210	17454592	+	42.8	NA	intron (NR_144322, intron 1 of 6)	CpG-2700	694	NM_001345961	338596		NM_001004470	ENSG00000148488	ST8SIA6	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding	42.77
1-122	chr21	42350402	42351784	+	42.2	NA	promoter-TSS (NM_005423)	promoter-TSS (NM_005423)	-99	NM_005423	7032		NM_005423	ENSG00000160181	TFF2	SML1|SP	trefoil factor 2	protein-coding	42.00
1-123	chr11	94845084	94846466	+	41.9	NA	intron (NM_130847, intron 6 of 12)	intron (NM_130847, intron 6 of 12)	77419	NM_001301007	154810		NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding	41.92
1-124	chr6	39250878	39252260	+	40.7	NA	Intergenic	Intergenic	-22094	NM_003740	8645		NM_003740	ENSG00000164626	KCNK5	K2p5.1|KCNK5b|TASK-2|TASK2	potassium two pore domain channel subfamily K member 5	protein-coding	40.71
1-125	chr6	122622357	122623739	+	40.6	NA	intron (NM_181795, intron 1 of 4)	intron (NM_181795, intron 1 of 4)	12643	NM_181795	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	40.63
1-126	chr4	88318421	88319803	+	40.4	NA	intron (NR_134238, intron 3 of 4)	intron (NR_134238, intron 3 of 4)	34182	NR_134236	105369192		NR_134236	ENSG00000246375	PPM1K-DT	-	PPM1K divergent transcript	ncRNA	40.37
1-127	chr1	162069231	162070613	+	39.3	NA	5' UTR (NM_001164757, exon 1 of 10)	5' UTR (NM_001164757, exon 1 of 10)	231	NM_014697	9722		NM_014697	ENSG00000198929	NOS1AP	6330408P19Rik|CAPON|NPHS22	nitric oxide synthase 1 adaptor protein	protein-coding	39.25
1-128	chr1	162023228	162024610	+	39.0	NA	5' UTR (NM_001297713, exon 1 of 8)	5' UTR (NM_001297713, exon 1 of 8)	546	NM_001347700	25903		NM_015441	ENSG00000162745	OLFML2B	-	olfactomedin like 2B	protein-coding	39.00
1-130	chr9	92987913	92989295	+	38.7	NA	intron (NM_001369951, intron 3 of 17)	LTR47B3|LTR|ERVL	14135	NM_001369952	89846		NM_033086	ENSG00000127084	FGD3	ZFYVE5	FYVE, RhoGEF and PH domain containing 3	protein-coding	38.65
1-129	chr6	125099122	125100504	+	38.7	NA	Intergenic	CpG	-53960	NM_001300994	7164		NM_003287	ENSG00000111907	TPD52L1	D53|TPD53	TPD52 like 1	protein-coding	38.74
1-131	chr6	135173313	135174695	+	37.6	NA	Intergenic	Intergenic	-7304	NM_001161659	4602		NM_005375	ENSG00000118513	MYB	Cmyb|c-myb|c-myb_CDS|efg	MYB proto-oncogene, transcription factor	protein-coding	37.62
1-133	chr9	92911698	92913080	+	37.4	NA	Intergenic	L2c|LINE|L2	29822	NR_111003	642943		NR_111003		LOC642943	-	SPATA31 subfamily A pseudogene	pseudo	37.36
1-132	chr11	94775851	94777233	+	37.4	NA	intron (NM_001301007, intron 1 of 11)	intron (NM_001301007, intron 1 of 11)	8186	NM_001301007	154810		NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding	37.45
1-134	chr8	90670466	90671848	+	35.4	NA	Intergenic	Intergenic	-25074	NM_001008495	169200		NM_001008495	ENSG00000180694	TMEM64	-	transmembrane protein 64	protein-coding	35.39
1-135	chr12	109130534	109131916	+	35.3	NA	intron (NM_001093, intron 1 of 52)	intron (NM_001093, intron 1 of 52)	14638	NM_001093	32		NM_001093	ENSG00000076555	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	acetyl-CoA carboxylase beta	protein-coding	35.30
1-136	chrX	116435887	116437269	+	34.3	NA	promoter-TSS (NM_007231)	promoter-TSS (NM_007231)	-28	NM_007231	11254		NM_007231	ENSG00000268104	SLC6A14	BMIQ11	solute carrier family 6 member 14	protein-coding	34.27
1-137	chr4	37440999	37442381	+	34.2	NA	intron (NM_001144990, intron 6 of 6)	intron (NM_001144990, intron 6 of 6)	-12235	NM_001104629	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	34.19
1-138	chr1	42991830	42993212	+	33.5	NA	Intergenic	L1MCa|LINE|L1	33472	NR_033967	440584		NR_033967	ENSG00000227533	SLC2A1-DT	SLC2A1-AS1	SLC2A1 divergent transcript	ncRNA	33.50
1-139	chr22	28828791	28830173	+	32.1	NA	Intergenic	Intergenic	-28910	NM_001079539	7494		NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding	32.12
1-140	chrX	116462278	116463660	+	31.8	NA	promoter-TSS (NM_001017978)	promoter-TSS (NM_001017978)	7	NM_001017978	203413		NM_001017978	ENSG00000204019	CT83	CXorf61|KK-LC-1|KKLC1	cancer/testis antigen 83	protein-coding	31.78
1-141	chr2	156382646	156384028	+	31.5	NA	Intergenic	Intergenic	-41217	NR_147695	440918		NR_147695		FLJ46875	-	uncharacterized LOC440918	ncRNA	31.52
1-142	chr15	38440012	38441394	+	31.4	NA	Intergenic	L1P4b|LINE|L1	-13424	NM_173611	283742		NM_173611	ENSG00000171262	FAM98B	-	family with sequence similarity 98 member B	protein-coding	31.44
1-143	chr12	109278022	109279404	+	31.3	NA	3' UTR (NM_213596, exon 10 of 10)	3' UTR (NM_213596, exon 10 of 10)	30571	NM_213596	121643		NM_213596	ENSG00000139445	FOXN4	-	forkhead box N4	protein-coding	31.27
1-144	chr19	16323928	16325310	+	30.9	NA	promoter-TSS (NM_016270)	promoter-TSS (NM_016270)	-207	NM_016270	10365		NM_006075	ENSG00000127528	KLF2	LKLF	KLF transcription factor 2	protein-coding	30.92
1-145	chr2	11647758	11649140	+	30.7	NA	Intergenic	Intergenic	21746	NM_012344	23620		NM_012344	ENSG00000169006	NTSR2	NTR2	neurotensin receptor 2	protein-coding	30.66
1-146	chr8	90692101	90693483	+	30.2	NA	Intergenic	Intergenic	-46709	NM_001008495	169200		NM_001008495	ENSG00000180694	TMEM64	-	transmembrane protein 64	protein-coding	30.23
1-147	chr10	17444916	17446298	+	30.1	NA	intron (NR_144322, intron 2 of 6)	L1ME4a|LINE|L1	8988	NM_001345961	338596		NM_001004470	ENSG00000148488	ST8SIA6	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding	29.98
1-148	chr2	215165962	215167344	+	29.0	NA	Intergenic	L1PB1|LINE|L1	-28027	NR_103740	26154		NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding	29.03
1-149	chr8	90616059	90617441	+	28.9	NA	Intergenic	THE1B-int|LTR|ERVL-MaLR	-10687	NR_104062	101937451		NR_104062	ENSG00000253799	LINC01030	-	long intergenic non-protein coding RNA 1030	ncRNA	28.95
1-150	chr2	215071229	215072611	+	27.9	NA	intron (NM_173076, intron 2 of 52)	intron (NM_173076, intron 2 of 52)	-39834	NM_015657	26154		NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding	27.92
1-151	chr19	16429018	16430400	+	27.2	NA	intron (NM_021235, intron 7 of 22)	intron (NM_021235, intron 7 of 22)	42261	NM_001258374	58513		NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding	27.23
1-154	chr6	122652320	122653702	+	26.9	NA	intron (NM_001270395, intron 1 of 4)	intron (NM_001270395, intron 1 of 4)	282	NM_001270395	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	26.88
1-153	chr4	37471483	37472865	+	26.9	NA	intron (NM_001104629, intron 1 of 3)	intron (NM_001104629, intron 1 of 3)	18249	NM_001104629	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	26.88
1-152	chr3	157437138	157438520	+	26.9	NA	exon (NM_002852, exon 2 of 3)	exon (NM_002852, exon 2 of 3)	979	NM_002852	5806		NM_002852	ENSG00000163661	PTX3	TNFAIP5|TSG-14	pentraxin 3	protein-coding	26.88
1-155	chr17	35256862	35258244	+	26.7	NA	intron (NM_144975, intron 1 of 4)	intron (NM_144975, intron 1 of 4)	14481	NM_001330183	162394		NM_144975	ENSG00000166750	SLFN5	-	schlafen family member 5	protein-coding	26.71
1-156	chr8	90665398	90666780	+	26.6	NA	Intergenic	L1PA15-16|LINE|L1	-20006	NM_001008495	169200		NM_001008495	ENSG00000180694	TMEM64	-	transmembrane protein 64	protein-coding	26.63
1-157	chr1	162197201	162198583	+	26.2	NA	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	40785	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	26.20
1-158	chr4	37666000	37667382	+	25.7	NA	intron (NM_001085400, intron 1 of 6)	intron (NM_001085400, intron 1 of 6)	19685	NM_001085399	768211		NM_001085399	ENSG00000181826	RELL1	-	RELT like 1	protein-coding	25.68
1-159	chr4	88216256	88217638	+	24.7	NA	intron (NM_001348985, intron 1 of 16)	AluSx1|SINE|Alu	14679	NM_001348985	9429		NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|CDw388|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (JR blood group)	protein-coding	24.74
1-160	chr8	90632001	90633383	+	24.5	NA	intron (NM_001008495, intron 1 of 2)	AluSx|SINE|Alu	13213	NM_001146273	169200		NM_001008495	ENSG00000180694	TMEM64	-	transmembrane protein 64	protein-coding	24.48
1-161	chr17	74670700	74672082	+	24.3	NA	5' UTR (NM_175738, exon 1 of 9)	5' UTR (NM_175738, exon 1 of 9)	260	NM_175738	326624		NM_175738	ENSG00000172794	RAB37	-	RAB37, member RAS oncogene family	protein-coding	24.31
1-162	chr2	215171415	215172797	+	24.0	NA	Intergenic	MamRep137|DNA|TcMar-Tigger	-33480	NR_103740	26154		NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding	23.96
1-163	chr10	17356655	17358037	+	23.7	NA	intron (NR_144322, intron 4 of 6)	AluSx3|SINE|Alu	-29590	NR_034129	100128098		NR_034129	ENSG00000204832	ST8SIA6-AS1	APAL	ST8SIA6 antisense RNA 1	ncRNA	23.71
1-164	chr12	15273814	15275196	+	23.4	NA	Intergenic	MER5B|DNA|hAT-Charlie	-48003	NM_002848	5800		NM_002848	ENSG00000151490	PTPRO	GLEPP1|NPHS6|PTP-OC|PTP-U2|PTPROT|PTPU2|R-PTP-O	protein tyrosine phosphatase receptor type O	protein-coding	23.36
1-165	chr17	74714679	74716061	+	23.4	NA	intron (NM_175738, intron 1 of 8)	intron (NM_175738, intron 1 of 8)	-2447	NM_139018	146722		NM_139018	ENSG00000186074	CD300LF	CD300f|CLM-1|CLM1|IREM-1|IREM1|IgSF13|LMIR3|NKIR	CD300 molecule like family member f	protein-coding	23.36
1-167	chrX	37993890	37995272	+	22.9	NA	Intergenic	Intergenic	3802	NM_012274	25763		NM_012274	ENSG00000187516	H2AP	CXorf27|HIP17|HYPM	H2A.P histone	protein-coding	22.93
1-166	chr15	38592870	38594252	+	22.9	NA	Intergenic	Intergenic	-28747	NM_001128602	10125		NM_005739	ENSG00000172575	RASGRP1	CALDAG-GEFI|CALDAG-GEFII|IMD64|RASGRP	RAS guanyl releasing protein 1	protein-coding	22.93
1-168	chr1	162206709	162208091	+	22.8	NA	intron (NM_014697, intron 2 of 9)	MIRb|SINE|MIR	50293	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	22.85
1-169	chr4	37568041	37569423	+	22.6	NA	intron (NM_001104629, intron 2 of 3)	intron (NM_001104629, intron 2 of 3)	-15501	NM_018302	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	22.59
1-170	chr11	94837679	94839061	+	21.6	NA	intron (NM_130847, intron 6 of 12)	intron (NM_130847, intron 6 of 12)	70014	NM_001301007	154810		NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding	21.56
1-171	chr17	41463900	41465282	+	21.2	NA	intron (NM_002278, intron 3 of 6)	intron (NM_002278, intron 3 of 6)	2795	NM_002278	3882		NM_002278	ENSG00000108759	KRT32	HA2|HKA2|KRTHA2|hHa2	keratin 32	protein-coding	21.22
1-172	chr11	94731498	94732880	+	20.9	NA	intron (NR_135096, intron 1 of 6)	intron (NR_135096, intron 1 of 6)	8166	NR_135096	105369438		NR_135093	ENSG00000255929	PIWIL4-AS1	-	PIWIL4 antisense RNA 1	ncRNA	20.87
1-173	chr10	116183504	116184886	+	20.6	NA	intron (NM_001382556, intron 5 of 10)	intron (NM_001382556, intron 5 of 10)	10594	NR_145811	109623470		NR_145811		SNORD158	-	small nucleolar RNA, C/D box 158	snoRNA	20.61
1-174	chr1	162055119	162056501	+	20.4	NA	Intergenic	AluSg|SINE|Alu	-13881	NM_001164757	9722		NM_014697	ENSG00000198929	NOS1AP	6330408P19Rik|CAPON|NPHS22	nitric oxide synthase 1 adaptor protein	protein-coding	20.36
1-175	chr6	11066859	11068241	+	20.3	NA	intron (NR_038964, intron 3 of 4)	intron (NR_038964, intron 3 of 4)	22859	NR_038962	100506409		NR_038962	ENSG00000230314	ELOVL2-AS1	-	ELOVL2 antisense RNA 1	ncRNA	20.27
1-176	chr6	122546990	122548372	+	19.8	NA	intron (NM_001270393, intron 3 of 7)	LTR18B|LTR|ERVL	-62551	NM_032471	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	19.84
1-177	chr17	74657039	74658421	+	19.8	NA	Intergenic	Intergenic	-13401	NM_175738	326624		NM_175738	ENSG00000172794	RAB37	-	RAB37, member RAS oncogene family	protein-coding	19.84
1-178	chr17	41486299	41487681	+	19.8	NA	exon (NM_003771, exon 6 of 7)	exon (NM_003771, exon 6 of 7)	2874	NM_003771	8689		NM_003771	ENSG00000126337	KRT36	HA6|KRTHA6|hHa6	keratin 36	protein-coding	19.76
1-179	chr12	15243114	15244496	+	19.2	NA	Intergenic	Intergenic	-22388	NM_001190726	85004		NM_032918	ENSG00000134533	RERG	-	RAS like estrogen regulated growth inhibitor	protein-coding	19.15
1-180	chr8	90725891	90727273	+	18.7	NA	Intergenic	L1PREC2|LINE|L1	-65193	NM_022351	64168		NM_022351	ENSG00000123119	NECAB1	EFCBP1|STIP-1	N-terminal EF-hand calcium binding protein 1	protein-coding	18.72
1-181	chr17	41477540	41478922	+	18.6	NA	intron (NM_002280, intron 5 of 7)	intron (NM_002280, intron 5 of 7)	2909	NM_002280	3886		NM_002280	ENSG00000197079	KRT35	HA5|Ha-5|K35|KRTHA5|hHa5	keratin 35	protein-coding	18.64
1-182	chr1	162080729	162082111	+	18.4	NA	intron (NM_014697, intron 1 of 9)	intron (NM_014697, intron 1 of 9)	11729	NM_014697	9722		NM_014697	ENSG00000198929	NOS1AP	6330408P19Rik|CAPON|NPHS22	nitric oxide synthase 1 adaptor protein	protein-coding	18.38
1-183	chr6	122563028	122564410	+	18.1	NA	intron (NM_001270393, intron 3 of 7)	L1PBa1|LINE|L1	-46513	NM_032471	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	18.12
1-184	chr6	125191962	125193344	+	17.7	NA	intron (NR_149043, intron 1 of 3)	intron (NR_149043, intron 1 of 3)	5164	NR_149043	100126584		NR_149043		LOC100126584	-	uncharacterized LOC100126584	ncRNA	17.69
1-185	chr11	94664457	94665839	+	17.3	NA	intron (NR_135096, intron 4 of 6)	MIRb|SINE|MIR	75207	NR_135096	105369438		NR_135093	ENSG00000255929	PIWIL4-AS1	-	PIWIL4 antisense RNA 1	ncRNA	17.26
1-186	chr6	122772294	122773676	+	16.8	NA	intron (NM_001319042, intron 1 of 3)	intron (NM_001319042, intron 1 of 3)	-6490	NM_001319039	2173		NM_001446	ENSG00000164434	FABP7	B-FABP|BLBP|FABPB|MRG	fatty acid binding protein 7	protein-coding	16.84
1-187	chr11	101033641	101035023	+	16.7	NA	non-coding (NR_073143, exon 6 of 6)	non-coding (NR_073143, exon 6 of 6)	94731	NR_073141	5241		NM_000926	ENSG00000082175	PGR	NR3C3|PR	progesterone receptor	protein-coding	16.66
1-190	chr1	162346867	162348249	+	16.2	NA	intron (NM_014697, intron 6 of 9)	intron (NM_014697, intron 6 of 9)	5012	NR_030283	693141		NR_030283	ENSG00000207729	MIR556	MIRN556|hsa-mir-556|mir-556	microRNA 556	ncRNA	16.23
1-188	chr1	162272130	162273512	+	16.2	NA	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	-69725	NR_030283	693141		NR_030283	ENSG00000207729	MIR556	MIRN556|hsa-mir-556|mir-556	microRNA 556	ncRNA	16.23
1-189	chr1	162346867	162348249	+	16.2	NA	intron (NM_014697, intron 6 of 9)	intron (NM_014697, intron 6 of 9)	5012	NR_030283	693141		NR_030283	ENSG00000207729	MIR556	MIRN556|hsa-mir-556|mir-556	microRNA 556	ncRNA	16.23
1-191	chr4	37527561	37528943	+	16.0	NA	intron (NM_001104629, intron 1 of 3)	intron (NM_001104629, intron 1 of 3)	-55981	NM_018302	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	15.98
1-192	chr5	73728850	73730232	+	15.6	NA	intron (NM_001177693, intron 2 of 35)	intron (NM_001177693, intron 2 of 35)	-84005	NM_001244364	64283		NM_022448	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding	15.63
1-193	chr6	135146362	135147744	+	15.1	NA	Intergenic	Intergenic	-34255	NM_001161659	4602		NM_005375	ENSG00000118513	MYB	Cmyb|c-myb|c-myb_CDS|efg	MYB proto-oncogene, transcription factor	protein-coding	15.12
1-194	chr17	35298531	35299913	+	14.9	NA	Intergenic	LTR19-int|LTR|ERV1	56150	NM_001330183	162394		NM_144975	ENSG00000166750	SLFN5	-	schlafen family member 5	protein-coding	14.86
1-195	chr4	37522244	37523626	+	14.7	NA	intron (NM_001104629, intron 1 of 3)	L1M1|LINE|L1	-61298	NM_018302	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	14.69
1-197	chrX	116475555	116476937	+	14.6	NA	Intergenic	L1MA2|LINE|L1	-13270	NM_001017978	203413		NM_001017978	ENSG00000204019	CT83	CXorf61|KK-LC-1|KKLC1	cancer/testis antigen 83	protein-coding	14.60
1-196	chr6	125279887	125281269	+	14.6	NA	intron (NM_016063, intron 4 of 5)	L1PA7|LINE|L1	21389	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding	14.60
1-198	chr12	15268302	15269684	+	14.5	NA	Intergenic	Intergenic	-47576	NM_001190726	85004		NM_032918	ENSG00000134533	RERG	-	RAS like estrogen regulated growth inhibitor	protein-coding	14.52
1-199	chr9	5111471	5112853	+	14.2	NA	intron (NM_001322199, intron 22 of 24)	CpG	70469	NM_001322204	3717		NM_004972	ENSG00000096968	JAK2	JTK10	Janus kinase 2	protein-coding	14.17
1-200	chr5	73692877	73694259	+	13.9	NA	intron (NM_001177693, intron 2 of 35)	intron (NM_001177693, intron 2 of 35)	67410	NM_001177693	64283		NM_022448	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding	13.91
1-201	chr1	162389650	162391032	+	13.8	NA	Intergenic	Intergenic	8613	NM_001085375	400793		NM_001085375	ENSG00000239887	C1orf226	-	chromosome 1 open reading frame 226	protein-coding	13.83
1-202	chr1	162389650	162391032	+	13.8	NA	Intergenic	Intergenic	8613	NM_001085375	400793		NM_001085375	ENSG00000239887	C1orf226	-	chromosome 1 open reading frame 226	protein-coding	13.83
1-203	chr5	73795900	73797282	+	13.5	NA	intron (NM_001177693, intron 9 of 35)	intron (NM_001177693, intron 9 of 35)	-16955	NM_001244364	64283		NM_022448	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding	13.49
1-204	chr12	15181347	15182729	+	13.4	NA	intron (NM_032918, intron 2 of 4)	intron (NM_032918, intron 2 of 4)	30115	NR_046559	100873980		NR_046559	ENSG00000255660	RERG-AS1	-	RERG antisense RNA 1	ncRNA	13.40
1-205	chrX	37958458	37959840	+	13.0	NA	Intergenic	MSTD-int|LTR|ERVL-MaLR	-31630	NM_012274	25763		NM_012274	ENSG00000187516	H2AP	CXorf27|HIP17|HYPM	H2A.P histone	protein-coding	12.97
1-207	chr8	90802898	90804280	+	12.8	NA	intron (NM_022351, intron 2 of 12)	intron (NM_022351, intron 2 of 12)	11814	NM_022351	64168		NM_022351	ENSG00000123119	NECAB1	EFCBP1|STIP-1	N-terminal EF-hand calcium binding protein 1	protein-coding	12.80
1-206	chr5	73604942	73606324	+	12.8	NA	Intergenic	L1MC4a|LINE|L1	-20525	NM_001080479	64283		NM_022448	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding	12.80
1-208	chr2	215098232	215099614	+	11.9	NA	intron (NM_173076, intron 2 of 52)	intron (NM_173076, intron 2 of 52)	39703	NM_173076	26154		NM_015657	ENSG00000144452	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	ATP binding cassette subfamily A member 12	protein-coding	11.85
1-209	chr9	5019842	5021224	+	11.9	NA	intron (NM_001322199, intron 2 of 24)	L1M2|LINE|L1	-21160	NM_001322204	3717		NM_004972	ENSG00000096968	JAK2	JTK10	Janus kinase 2	protein-coding	11.85
1-210	chr11	101069709	101071091	+	11.8	NA	intron (NR_073142, intron 2 of 6)	L1PA7|LINE|L1	58663	NR_073141	5241		NM_000926	ENSG00000082175	PGR	NR3C3|PR	progesterone receptor	protein-coding	11.77
