PeakID (cmd=annotatePeaks.pl MYC_Cluster4_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1-108	chr12	119208129	119209511	+	30.7	NA	Intergenic	MER126|DNA|DNA	29889	NM_014365	26353		NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HMND2|HSP22|HSPB8-N1|HSPB8-N2	heat shock protein family B (small) member 8	protein-coding	30.66
1-107	chr10	13221179	13222561	+	30.7	NA	3' UTR (NM_001303118, exon 4 of 4)	3' UTR (NM_001303118, exon 4 of 4)	4601	NR_004394	26827		NR_004394	ENSG00000206625	RNU6-1	RNU6|RNU6A|U6|U6-1	RNA, U6 small nuclear 1	snRNA	30.75
1-109	chr3	127651603	127652985	+	30.4	NA	intron (NM_015720, intron 2 of 7)	intron (NM_015720, intron 2 of 7)	-20644	NM_032548	80325		NM_032548	ENSG00000114626	ABTB1	BPOZ|BPOZ-2|BTB3|BTBD21|EF1ABP|PP2259	ankyrin repeat and BTB domain containing 1	protein-coding	30.41
1-111	chr12	119188537	119189919	+	28.9	NA	intron (NM_014365, intron 2 of 2)	intron (NM_014365, intron 2 of 2)	10297	NM_014365	26353		NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HMND2|HSP22|HSPB8-N1|HSPB8-N2	heat shock protein family B (small) member 8	protein-coding	28.86
1-110	chr2	161745929	161747311	+	28.9	NA	intron (NM_001354443, intron 2 of 25)	L1M1|LINE|L1	122204	NM_001354445	57282		NM_022058	ENSG00000144290	SLC4A10	NBCn2|NCBE	solute carrier family 4 member 10	protein-coding	28.86
1-112	chr1	186162378	186163760	+	28.7	NA	intron (NM_031935, intron 97 of 106)	L1PA3|LINE|L1	-133204	NM_001303232	10216		NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding	28.69
1-113	chr12	119199081	119200463	+	28.2	NA	Intergenic	(TTCC)n|Simple_repeat|Simple_repeat	20841	NM_014365	26353		NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HMND2|HSP22|HSPB8-N1|HSPB8-N2	heat shock protein family B (small) member 8	protein-coding	28.17
1-114	chr1	212138053	212139435	+	27.7	NA	Intergenic	ERV3-16A3_I-int|LTR|ERVL	61131	NR_036068	100422947		NR_036068	ENSG00000264358	MIR3122	mir-3122	microRNA 3122	ncRNA	27.66
1-115	chr18	63074503	63075885	+	27.1	NA	Intergenic	Intergenic	244575	NM_000633	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	27.14
1-116	chr1	23483661	23485043	+	26.9	NA	promoter-TSS (NM_001143778)	promoter-TSS (NM_001143778)	-173	NM_017707	55616		NM_017707	ENSG00000088280	ASAP3	ACAP4|CENTB6|DDEFL1|UPLC1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein-coding	26.88
1-117	chr1	241944402	241945148	+	26.5	NA	Intergenic	Intergenic	-12992	NM_001290693	441925		NM_001290693	ENSG00000196289	BECN2	BECN1L1|BECN1P1	beclin 2	protein-coding	14.86
1-118	chr2	162027316	162028698	+	24.5	NA	intron (NR_166824, intron 10 of 25)	intron (NR_166824, intron 10 of 25)	46208	NM_001379604	1803		NM_001935	ENSG00000197635	DPP4	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl peptidase 4	protein-coding	24.48
1-119	chr1	23505812	23507194	+	24.1	NA	TTS (NM_004091)	TTS (NM_004091)	-15427	NR_110799	101928163		NR_110799		LOC101928163	-	uncharacterized LOC101928163	ncRNA	24.05
1-120	chr1	186231481	186232863	+	24.1	NA	Intergenic	MamGypLTR1b|LTR|Gypsy	-64101	NM_001303232	10216		NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding	24.05
1-121	chr18	63137927	63139309	+	24.0	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	181151	NM_000633	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	23.96
1-122	chr1	35747860	35749242	+	23.6	NA	exon (NM_001190481, exon 12 of 24)	exon (NM_001190481, exon 12 of 24)	21427	NM_022111	63967		NM_022111	ENSG00000092853	CLSPN	-	claspin	protein-coding	23.62
1-123	chr19	4958926	4960308	+	23.1	NA	intron (NM_013282, intron 15 of 15)	intron (NM_013282, intron 15 of 15)	-9496	NM_015015	23030		NM_015015	ENSG00000127663	KDM4B	JMJD2B|MRD65|TDRD14B	lysine demethylase 4B	protein-coding	23.11
1-124	chr18	63258901	63260283	+	22.7	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	60177	NM_000633	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	22.68
1-125	chr1	35707102	35708484	+	22.6	NA	Intergenic	Intergenic	9118	NM_001348691	127703		NM_152374	ENSG00000142686	C1orf216	-	chromosome 1 open reading frame 216	protein-coding	22.59
1-126	chr1	35807471	35808853	+	22.6	NA	5' UTR (NM_017629, exon 1 of 18)	5' UTR (NM_017629, exon 1 of 18)	146	NM_017629	192670		NM_017629	ENSG00000134698	AGO4	EIF2C4	argonaute RISC component 4	protein-coding	22.59
1-127	chr3	53799421	53800803	+	22.3	NA	intron (NM_001128839, intron 39 of 45)	intron (NM_001128839, intron 39 of 45)	46307	NM_018397	55349		NM_018397	ENSG00000016391	CHDH	-	choline dehydrogenase	protein-coding	22.33
1-128	chr2	161844441	161845823	+	21.9	NA	intron (NM_001178016, intron 5 of 26)	intron (NM_001178016, intron 5 of 26)	220716	NM_001354445	57282		NM_022058	ENSG00000144290	SLC4A10	NBCn2|NCBE	solute carrier family 4 member 10	protein-coding	21.90
1-129	chr15	43903249	43904631	+	21.6	NA	intron (NM_001286491, intron 8 of 14)	intron (NM_001286491, intron 8 of 14)	-25769	NR_003571	728758		NR_003571		PIN4P1	-	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 pseudogene 1	pseudo	21.56
1-130	chr1	186152337	186153719	+	21.4	NA	intron (NM_031935, intron 96 of 106)	intron (NM_031935, intron 96 of 106)	-143245	NM_001303232	10216		NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding	21.39
1-131	chr1	23573993	23575375	+	21.2	NA	Intergenic	MER102c|DNA|hAT-Charlie	-15183	NM_002167	3399		NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3	protein-coding	21.22
1-132	chr11	134292585	134293967	+	21.1	NA	intron (NM_001080407, intron 9 of 19)	intron (NM_001080407, intron 9 of 19)	16897	NM_001080407	112937		NM_138416	ENSG00000166105	GLB1L3	-	galactosidase beta 1 like 3	protein-coding	21.13
1-133	chr11	59135296	59136678	+	20.3	NA	intron (NR_110184, intron 3 of 3)	intron (NR_110184, intron 3 of 3)	6821	NR_110184	101927204		NR_110184	ENSG00000245571	FAM111A-DT	-	FAM111A divergent transcript	ncRNA	20.27
1-134	chr6	52306427	52307809	+	19.7	NA	Intergenic	Intergenic	-22376	NM_001366371	4172		NM_002388	ENSG00000112118	MCM3	HCC5|P1-MCM3|P1.h|RLFB	minichromosome maintenance complex component 3	protein-coding	19.67
1-135	chr2	161872073	161873455	+	19.3	NA	intron (NM_001178016, intron 8 of 26)	AluSx|SINE|Alu	201451	NM_001379604	1803		NM_001935	ENSG00000197635	DPP4	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl peptidase 4	protein-coding	19.33
1-136	chrX	24646843	24648225	+	18.8	NA	promoter-TSS (NM_004845)	promoter-TSS (NM_004845)	-187	NM_001163265	9468		NM_004845	ENSG00000102230	PCYT1B	CCTB|CTB	phosphate cytidylyltransferase 1B, choline	protein-coding	18.81
1-137	chr2	173401978	173403360	+	18.3	NA	Intergenic	Intergenic	47797	NM_145810	83879		NM_031942	ENSG00000144354	CDCA7	ICF3|JPO1	cell division cycle associated 7	protein-coding	18.30
1-138	chr1	185707078	185708460	+	17.2	NA	Intergenic	L1PA3|LINE|L1	-26622	NM_031935	83872		NM_031935	ENSG00000143341	HMCN1	ARMD1|FBLN6|FIBL-6|FIBL6	hemicentin 1	protein-coding	17.18
1-139	chr11	134401771	134403153	+	16.3	NA	intron (NM_054025, intron 1 of 5)	intron (NM_054025, intron 1 of 5)	9456	NM_018644	27087		NM_018644	ENSG00000109956	B3GAT1	CD57|GLCATP|GLCUATP|HNK1|LEU7|NK-1|NK1	beta-1,3-glucuronyltransferase 1	protein-coding	16.32
1-140	chr11	134409515	134410897	+	15.9	NA	intron (NM_054025, intron 1 of 5)	intron (NM_054025, intron 1 of 5)	1712	NM_018644	27087		NM_018644	ENSG00000109956	B3GAT1	CD57|GLCATP|GLCUATP|HNK1|LEU7|NK-1|NK1	beta-1,3-glucuronyltransferase 1	protein-coding	15.89
1-141	chr2	161918758	161920140	+	15.7	NA	intron (NM_001178016, intron 15 of 26)	MER52A|LTR|ERV1	154766	NM_001379604	1803		NM_001935	ENSG00000197635	DPP4	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl peptidase 4	protein-coding	15.72
1-143	chr10	44324581	44325963	+	15.2	NA	Intergenic	MIRb|SINE|MIR	32522	NR_164139	100130539		NM_001258000	ENSG00000277288	LINC02881	C10orf142	long intergenic non-protein coding RNA 2881	ncRNA	15.03
1-142	chr1	186212084	186213466	+	15.2	NA	Intergenic	Intergenic	-83498	NM_001303232	10216		NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding	15.20
1-145	chr8	74337286	74338668	+	14.8	NA	Intergenic	MamGypLTR2c|LTR|Gypsy	-12406	NM_001362929	54332		NM_018972	ENSG00000104381	GDAP1	CMT4|CMT4A|CMTRIA	ganglioside induced differentiation associated protein 1	protein-coding	14.77
1-144	chr8	74337286	74338668	+	14.8	NA	Intergenic	MamGypLTR2c|LTR|Gypsy	-12406	NM_001362929	54332		NM_018972	ENSG00000104381	GDAP1	CMT4|CMT4A|CMTRIA	ganglioside induced differentiation associated protein 1	protein-coding	14.77
1-146	chr2	161570442	161571824	+	14.6	NA	Intergenic	L1PB4|LINE|L1	-53202	NM_001178016	57282		NM_022058	ENSG00000144290	SLC4A10	NBCn2|NCBE	solute carrier family 4 member 10	protein-coding	14.60
1-147	chr1	186221365	186222747	+	14.4	NA	Intergenic	L1PBa|LINE|L1	-74217	NM_001303232	10216		NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding	14.43
1-148	chr8	74415652	74417034	+	14.4	NA	intron (NM_001362931, intron 5 of 5)	L1ME1|LINE|L1	65940	NM_001362931	54332		NM_018972	ENSG00000104381	GDAP1	CMT4|CMT4A|CMTRIA	ganglioside induced differentiation associated protein 1	protein-coding	14.43
1-149	chr1	185892127	185893509	+	14.3	NA	intron (NM_031935, intron 4 of 106)	L1PA2|LINE|L1	158427	NM_031935	83872		NM_031935	ENSG00000143341	HMCN1	ARMD1|FBLN6|FIBL-6|FIBL6	hemicentin 1	protein-coding	14.26
1-150	chrX	24958852	24960234	+	14.1	NA	intron (NR_165483, intron 35 of 35)	L2|LINE|L2	56422	NM_139058	170302		NM_139058	ENSG00000004848	ARX	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	aristaless related homeobox	protein-coding	14.09
1-151	chr15	63419645	63421027	+	14.0	NA	intron (NR_120375, intron 4 of 6)	MLT1C|LTR|ERVL-MaLR	30106	NR_120375	102723344		NR_120375		LINC02568	-	long intergenic non-protein coding RNA 2568	ncRNA	14.00
1-152	chr1	23496589	23497971	+	13.9	NA	Intergenic	Intergenic	-13101	NM_017707	55616		NM_017707	ENSG00000088280	ASAP3	ACAP4|CENTB6|DDEFL1|UPLC1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein-coding	13.91
1-153	chr10	94662599	94663905	+	13.4	NA	Intergenic	L1PA5|LINE|L1	-20477	NM_000772	1562		NM_000772	ENSG00000108242	CYP2C18	CPCI|CYP2C|CYP2C17|P450-6B/29C|P450IIC17	cytochrome P450 family 2 subfamily C member 18	protein-coding	12.97
1-156	chr10	13151794	13153176	+	13.1	NA	Intergenic	MER4D|LTR|ERV1	-9073	NM_182751	55388		NM_018518	ENSG00000065328	MCM10	CNA43|DNA43|IMD80|PRO2249	minichromosome maintenance 10 replication initiation factor	protein-coding	13.06
1-154	chr2	161650478	161651860	+	13.1	NA	intron (NM_001354451, intron 1 of 25)	MER52A|LTR|ERV1	26753	NM_001354445	57282		NM_022058	ENSG00000144290	SLC4A10	NBCn2|NCBE	solute carrier family 4 member 10	protein-coding	13.14
1-155	chr2	161760683	161762065	+	13.1	NA	intron (NM_001354443, intron 2 of 25)	intron (NM_001354443, intron 2 of 25)	136958	NM_001354445	57282		NM_022058	ENSG00000144290	SLC4A10	NBCn2|NCBE	solute carrier family 4 member 10	protein-coding	13.06
1-157	chr18	63132267	63133649	+	12.9	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	186811	NM_000633	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	12.88
1-158	chr11	134339573	134340955	+	12.3	NA	intron (NM_138342, intron 1 of 19)	intron (NM_138342, intron 1 of 19)	8276	NM_001370463	89944		NM_138342	ENSG00000149328	GLB1L2	MST114|MSTP114	galactosidase beta 1 like 2	protein-coding	12.28
1-159	chr10	94616718	94618100	+	11.8	NA	Intergenic	MER50|LTR|ERV1	-66320	NM_000772	1562		NM_000772	ENSG00000108242	CYP2C18	CPCI|CYP2C|CYP2C17|P450-6B/29C|P450IIC17	cytochrome P450 family 2 subfamily C member 18	protein-coding	11.77
1-160	chr6	52233849	52235231	+	11.4	NA	Intergenic	Intergenic	9960	NM_052872	112744		NM_052872	ENSG00000112116	IL17F	CANDF6|IL-17F|IL17A|ML-1|ML1	interleukin 17F	protein-coding	11.42
